"ID","Name","coord","link","lon","lat","js"
1,"Blueemlisalphuette SAC, SAC Sektion Bluemlisalp","625.565/151.040","https://www.alpsonline.org/reservation/calendar?hut_id=1",7.7717084,46.5102283,"['Blueemlisalphuette SAC, SAC Sektion Bluemlisalp',7.7717084,46.5102283],"
2,"Glecksteinhuette SAC, SAC Burgdorf","650.400/163.979","https://www.alpsonline.org/reservation/calendar?hut_id=2",8.096521,46.6251159,"['Glecksteinhuette SAC, SAC Burgdorf',8.096521,46.6251159],"
3,"Capanna da lAlbigna CAS, SAC Hoher Rohn","770.675/133.375","https://www.alpsonline.org/reservation/calendar?hut_id=3",9.65512,46.3299,"['Capanna da lAlbigna CAS, SAC Hoher Rohn',9.65512,46.3299],"
4,"Kesch-Huette SAC, SAC Davos","786.561/168.870","https://www.alpsonline.org/reservation/calendar?hut_id=4",9.8751716,46.6451659,"['Kesch-Huette SAC, SAC Davos',9.8751716,46.6451659],"
5,"Lidernenhuette SAC, SAC Mythen","695.500/199.000","https://www.alpsonline.org/reservation/calendar?hut_id=5",8.6925125,46.9351944,"['Lidernenhuette SAC, SAC Mythen',8.6925125,46.9351944],"
6,"Monte Rosa Huette SAC, SAC Monte Rosa","629.146/089.553","https://www.alpsonline.org/reservation/calendar?hut_id=6",7.8145789,45.9569375,"['Monte Rosa Huette SAC, SAC Monte Rosa',7.8145789,45.9569375],"
7,"Capanna di Sciora CAS, SAC Hoher Rohn","767325/131325","https://www.alpsonline.org/reservation/calendar?hut_id=7",9.6111967,46.3125,"['Capanna di Sciora CAS, SAC Hoher Rohn',9.6111967,46.3125],"
8,"Capanna Basòdino (Robiei) CAS, CAS Locarno","Coordinate:
682.650/143.700(CH1903/LV03),8.514129/46.439542(WGS84)","https://www.alpsonline.org/reservation/calendar?hut_id=8",8.514105,46.4395411,"['Capanna Basòdino (Robiei) CAS, CAS Locarno',8.514105,46.4395411],"
9,"Britanniahuette SAC, CAS Genevoise","638.420/101.070","https://www.alpsonline.org/reservation/calendar?hut_id=9",7.9350557,46.0601385,"['Britanniahuette SAC, CAS Genevoise',7.9350557,46.0601385],"
10,"Cabane des Dix CAS, CAS Monte Rosa","Coordonnées:
598.380/095.500","https://www.alpsonline.org/reservation/calendar?hut_id=10",7.8145789,45.9569375,"['Cabane des Dix CAS, CAS Monte Rosa',7.8145789,45.9569375],"
11,"Doldenhornhuette SAC, SAC Emmental","619.870/148.430","https://www.alpsonline.org/reservation/calendar?hut_id=11",7.697394,46.4868822,"['Doldenhornhuette SAC, SAC Emmental',7.697394,46.4868822],"
12,"Konkordiahuette SAC, SAC Grindelwald","647.179/150.079","https://www.alpsonline.org/reservation/calendar?hut_id=12",8.053211,46.500441,"['Konkordiahuette SAC, SAC Grindelwald',8.053211,46.500441],"
13,"Leglerhuette SAC, SAC Toedi","725.010/198.670","https://www.alpsonline.org/reservation/calendar?hut_id=13",9.080237,46.927409,"['Leglerhuette SAC, SAC Toedi',9.080237,46.927409],"
14,"Mutthornhuette SAC, SAC Weissenstein","630.058/148.406","https://www.alpsonline.org/reservation/calendar?hut_id=14",7.8301079,46.4862468,"['Mutthornhuette SAC, SAC Weissenstein',7.8301079,46.4862468],"
15,"Oberaarjochhuette SAC, SAC Biel","656.360/153.010","https://www.alpsonline.org/reservation/calendar?hut_id=15",8.173025,46.526039,"['Oberaarjochhuette SAC, SAC Biel',8.173025,46.526039],"
16,"Terrihuette SAC, SAC Piz Terri","719.930/166.010","https://www.alpsonline.org/reservation/calendar?hut_id=16",9.00493,46.6346,"['Terrihuette SAC, SAC Piz Terri',9.00493,46.6346],"
17,"Geltenhuette SAC, SAC Oldenhorn","592.340/135.360","https://www.alpsonline.org/reservation/calendar?hut_id=17",7.339079,46.369614,"['Geltenhuette SAC, SAC Oldenhorn',7.339079,46.369614],"
18,"Capanna del Forno CAS, SAC Rorschach","774.840/133.690","https://www.alpsonline.org/reservation/calendar?hut_id=18",9.7007906,46.390809,"['Capanna del Forno CAS, SAC Rorschach',9.7007906,46.390809],"
19,"Fruendenhuette SAC, SAC Altels","623.275/148.090","https://www.alpsonline.org/reservation/calendar?hut_id=19",7.74181,46.4836,"['Fruendenhuette SAC, SAC Altels',7.74181,46.4836],"
20,"Capanna Cristallina CAS, CAS Ticino","683.550/147.300","https://www.alpsonline.org/reservation/calendar?hut_id=20",8.526377,46.471889,"['Capanna Cristallina CAS, CAS Ticino',8.526377,46.471889],"
21,"Badushuette, SAC Manegg","694.160/165.770","https://www.alpsonline.org/reservation/calendar?hut_id=21",8.6683981,46.6365737,"['Badushuette, SAC Manegg',8.6683981,46.6365737],"
22,"Cabane des Diablerets CAS, CAS Jaman","582.810/131.950","https://www.alpsonline.org/reservation/calendar?hut_id=22",7.2154776,46.3386795,"['Cabane des Diablerets CAS, CAS Jaman',7.2154776,46.3386795],"
23,"Baechlitalhuette SAC, SAC Am Albis","664.688/159.878","https://www.alpsonline.org/reservation/calendar?hut_id=23",NA,NA,"['Baechlitalhuette SAC, SAC Am Albis',NA,NA],"
24,"Hohganthuette, SAC Emmental","635.700/181.380","https://www.alpsonline.org/reservation/calendar?hut_id=24",7.90613,46.7826,"['Hohganthuette, SAC Emmental',7.90613,46.7826],"
25,"Chamanna dEs-cha CAS, SAC Bernina","788.750/165.200","https://www.alpsonline.org/reservation/calendar?hut_id=25",NA,NA,"['Chamanna dEs-cha CAS, SAC Bernina',NA,NA],"
