name	coord	group	desc
Paliochori	39.726200, 21.086971	Climbing	
Vikos gorge	39.867008, 20.771840	Climbing	
Manika	38.542738,24.010220	Climbing	
Leonidio	37.16563,22.81906	Climbing	
Varasova	38.348989,21.595382	Climbing	
Tzoumerka National Park	39.508, 21.102	Nature ChatGPT	Remote mountains, deep gorges, stone villages. Ideal for rugged bikepacking.
Pindus Valia Calda	40.036, 21.09	Nature ChatGPT	One of Greece’s wildest areas: bears, forests, gravel roads.
Prespa Lakes	40.789, 21.083	Nature ChatGPT	High-altitude lakes, birdlife, quiet backroads.
Vikos–Aoos	39.968, 20.749	Nature ChatGPT	Epic cliffs and stone villages; world’s deepest canyon by ratio.
Metsovo High Plateau	39.77, 21.182	Nature ChatGPT	Mountain meadows, perfect gravel crossings.
Agrafa Mountains	39.178, 21.602	Nature ChatGPT	Extremely remote, pure bikepacking terrain.
Rhodope Forests	41.32, 24.65	Nature ChatGPT	Dense pine forests and wild terrain in northern Greece.
Kroussia Mountains	41.058, 23.263	Nature ChatGPT	Forested tracks near the border, quiet and remote.
Oiti National Park	38.825, 22.295	Nature ChatGPT	High alpine plateau, meadows, and old military roads.
Chelmos–Vouraikos	38.033, 22.2	Nature ChatGPT	Rock formations and high mountain plateaus.
Taygetos Range	36.979, 22.388	Nature ChatGPT	Massive limestone ridge with long ridgeline tracks.
Crete – Lefka Ori	35.304, 24.057	Nature ChatGPT	The White Mountains: rugged, steep, incredible bikepacking loops.
Crete – Psiloritis	35.237, 24.806	Nature ChatGPT	Gravel routes through shepherd roads and bare highlands.
Pelion East Coast	39.433, 23.2	Nature ChatGPT	Wild sandy beaches, forest roads descending straight to the sea.
Mani Peninsula Coast	36.54, 22.38	Nature ChatGPT	Cliffs, towers, gravel coastal tracks through remote villages.
Epirus Coast (Parga–Syvota)	39.28, 20.4	Nature ChatGPT	Clear water coves and backroads above the Ionian Sea.
Evia – Northern Coast	38.95, 23.35	Nature ChatGPT	Pine forests meeting the coastline, quiet coastal gravel.
Crete – South Coast	35.15, 24.53	Nature ChatGPT	Remote bays, rough tracks, stunning fjord-like coastline.
Kassandra East Coast (Halkidiki)	40.04, 23.54	Nature ChatGPT	Forest trails above turquoise water.
Pilion – Fakistra to Damouchari Trail	39.377, 23.185	Nature ChatGPT	Steep stone paths and short gravel climbs along dramatic coastline.
Thassos – Marble Beach Area	40.806, 24.771	Nature ChatGPT	White gravel roads and emerald water, good bikepacking loops.
Mystra	37.0734210, 22.3667549	Archeologie
Asklepios	37.5993489, 23.0740415	Archeologie
Mycenae	37.7301727, 22.7561402	Archeologie
Tyrins	37.5994527, 22.8004262	Archeologie
Olympia	37.6437830, 21.6272188	Archeologie
