"name"	"coord"	"desc"	"group"
"Ymittos"	"37.90974815,23.79969635"	"Routes:548 - Ascents:10666

<a href='https://www.thecrag.com/climbing/greece/area/1679687967' target='_blank'>Thecrag link</a>"	"Climbing"
"Babála"	"36.949931,22.98691685"	"Routes:145 - Ascents:115

<a href='https://www.thecrag.com/climbing/greece/area/980183331' target='_blank'>Thecrag link</a>"	"Climbing"
"Meteora"	"39.72096345,21.6299958"	"Routes:219 - Ascents:1216

<a href='https://www.thecrag.com/climbing/greece/meteora' target='_blank'>Thecrag link</a>"	"Climbing"
"Lagada"	"37.07982205,22.3074636"	"Routes:153 - Ascents:1218

<a href='https://www.thecrag.com/climbing/greece/area/319663935' target='_blank'>Thecrag link</a>"	"Climbing"
"Livada"	"37.60453175,25.22844255"	"Routes:253 - Ascents:126

<a href='https://www.thecrag.com/climbing/greece/area/5658914421' target='_blank'>Thecrag link</a>"	"Climbing"
"Aitoloakarnania"	"38.7202387,21.33301055"	"Routes:269 - Ascents:1317

<a href='https://www.thecrag.com/climbing/greece/area/1014957594' target='_blank'>Thecrag link</a>"	"Climbing"
"Ermionida"	"37.40783035,23.2172458"	"Routes:314 - Ascents:1513

<a href='https://www.thecrag.com/climbing/greece/argolis/area/6542872092' target='_blank'>Thecrag link</a>"	"Climbing"
"Kefalari Area"	"37.90829185,22.5429781"	"Routes:147 - Ascents:1537

<a href='https://www.thecrag.com/climbing/greece/area/6316439367' target='_blank'>Thecrag link</a>"	"Climbing"
"Kos"	"36.7919684,27.1374517"	"Routes:341 - Ascents:158

<a href='https://www.thecrag.com/climbing/greece/area/5578465779' target='_blank'>Thecrag link</a>"	"Climbing"
"Ikaria"	"37.60038475,26.16996815"	"Routes:414 - Ascents:165

<a href='https://www.thecrag.com/climbing/greece/area/2471405166' target='_blank'>Thecrag link</a>"	"Climbing"
"Upper Pinios Valley"	"39.735609,21.64141125"	"Routes:403 - Ascents:2027

<a href='https://www.thecrag.com/climbing/greece/area/7392941532' target='_blank'>Thecrag link</a>"	"Climbing"
"Greece"	"38.04412815,24.5546892"	"Routes:21305 - Ascents:207946

<a href='https://www.thecrag.com/climbing/greece' target='_blank'>Thecrag link</a>"	"Climbing"
"Pyli Trikala"	"39.4590879,21.6002603"	"Routes:115 - Ascents:232

<a href='https://www.thecrag.com/climbing/greece/area/1022396973' target='_blank'>Thecrag link</a>"	"Climbing"
"Central Greece"	"38.8123872,22.1819351"	"Routes:668 - Ascents:2476

<a href='https://www.thecrag.com/climbing/greece/area/3069406098' target='_blank'>Thecrag link</a>"	"Climbing"
